L,omega,Re(sigma),Im(sigma),delta_1,Stability
3.0,4676.767676767677,-778.7118167795803,1672.669142568323,3.44e-06,Stable
3.0,4818.181818181818,-749.3945602879463,-1096.9313630181114,3.44e-06,Stable
3.0,4959.595959595959,-745.2610817784271,-3728.6544134320357,3.44e-06,Stable
3.0,5101.010101010102,-766.3886516926833,-6315.792187229881,3.44e-06,Stable
3.0,5242.424242424243,-816.5575209860801,-8944.998306495556,3.44e-06,Stable
3.0,5383.838383838384,-904.2529683156065,-11708.872492629383,3.44e-06,Stable
3.0,5525.252525252526,-1045.317957836108,-14720.394643308075,3.44e-06,Stable
3.0,5666.666666666667,-1268.7816722482862,-18134.28660004843,3.44e-06,Stable
3.0,5808.080808080808,-1629.922623469508,-22184.72368262534,3.44e-06,Stable
3.0,5949.49494949495,-2242.0704427651085,-27261.021326807142,3.44e-06,Stable
3.0,6090.909090909091,-3364.351919985015,-34078.67483010396,3.44e-06,Stable
3.0,6232.323232323232,-5690.657594576538,-44121.73692162767,3.44e-06,Stable
3.0,6373.737373737375,-11584.63464682817,-60990.29835144081,3.44e-06,Stable
3.0,6515.151515151516,-33079.73301488777,-94977.06637083655,3.44e-06,Stable
3.0,6656.565656565657,-175225.0374919036,-129017.91704238282,3.44e-06,Stable
3.0,6797.979797979799,-111737.69789706217,114645.89715621207,3.44e-06,Stable
3.0,6939.39393939394,-28588.24236157112,67164.24221059066,3.44e-06,Stable
3.0,7080.808080808081,-12763.603285043835,40935.50588314097,3.44e-06,Stable
3.0,7222.222222222223,-7484.119511568777,26974.09071717427,3.44e-06,Stable
3.0,7363.636363636364,-5111.552290767928,18238.046714697623,3.44e-06,Stable
3.0,7505.050505050505,-3850.9816760851854,12104.596298816345,3.44e-06,Stable
3.0,7646.464646464647,-3110.790301549348,7425.447750158048,3.44e-06,Stable
3.0,7787.878787878788,-2651.1614297966944,3622.071724688227,3.44e-06,Stable
3.0,7929.29292929293,-2361.050340676661,368.78640971877485,3.44e-06,Stable
3.0,8070.707070707072,-2184.8471348998605,-2536.0343486245865,3.44e-06,Stable
3.0,8212.121212121212,-2094.330189041268,-5229.238407307384,3.44e-06,Stable
3.0,8353.535353535353,-2077.000865356372,-7813.463877653552,3.44e-06,Stable
3.0,8494.949494949495,-2131.4360811159186,-10375.059827731007,3.44e-06,Stable
3.0,8636.363636363636,-2266.4799576772843,-12996.630569448942,3.44e-06,Stable
3.0,8777.777777777777,-2503.6284260032526,-15768.253749737949,3.44e-06,Stable
3.0,8919.191919191919,-2883.744579983205,-18800.593077557252,3.44e-06,Stable
3.0,9060.60606060606,-3481.904736622481,-22243.85641289063,3.44e-06,Stable
3.0,9202.020202020203,-4440.368115317313,-26319.079391613144,3.44e-06,Stable
3.0,9343.434343434345,-6047.078366375837,-31373.32214974526,3.44e-06,Stable
3.0,9484.848484848486,-8942.902164709565,-37975.66063828544,3.44e-06,Stable
3.0,9626.262626262627,-14743.063139568174,-47033.20474721997,3.44e-06,Stable
3.0,9767.676767676769,-28138.695090629786,-59360.0770294632,3.44e-06,Stable
3.0,9909.09090909091,-62862.7297554477,-68346.01447603585,3.44e-06,Stable
3.0,10050.505050505051,-113546.162153622,-21761.354892167692,3.44e-06,Stable
3.0,10191.919191919193,-75623.35238222023,39817.14683528709,3.44e-06,Stable
3.0,10333.333333333334,-36354.48022260638,37633.2376136724,3.44e-06,Stable
3.0,10474.747474747475,-20158.853141391424,26600.44860951705,3.44e-06,Stable
3.0,10616.161616161617,-12942.550519301964,17860.258255903187,3.44e-06,Stable
3.0,10757.575757575758,-9244.695505363416,11365.338746805364,3.44e-06,Stable
3.0,10898.9898989899,-7139.85146640421,6361.8200210190535,3.44e-06,Stable
3.0,11040.40404040404,-5855.184325584364,2320.85526740133,3.44e-06,Stable
3.0,11181.818181818182,-5040.420906290621,-1090.910704246311,3.44e-06,Stable
3.0,11323.232323232323,-4521.8379134057195,-4088.0963103097474,3.44e-06,Stable
3.0,11464.646464646465,-4208.627081764418,-6816.318641841791,3.44e-06,Stable
3.0,11606.060606060608,-4053.633050260598,-9381.343434982156,3.44e-06,Stable
3.0,11747.47474747475,-4036.0647024261025,-11866.6143209335,3.44e-06,Stable
3.0,11888.88888888889,-4154.4533580021825,-14344.648761985787,3.44e-06,Stable
3.0,12030.303030303032,-4425.620713612516,-16885.41687909567,3.44e-06,Stable
3.0,12171.717171717173,-4888.827745371146,-19563.52272804132,3.44e-06,Stable
3.0,12313.131313131315,-5616.787638617274,-22465.173224937553,3.44e-06,Stable
3.0,12454.545454545456,-6738.688551524785,-25694.72297224315,3.44e-06,Stable
3.0,12595.959595959597,-8487.15924623939,-29376.908330085596,3.44e-06,Stable
3.0,12737.373737373739,-11295.492583183872,-33637.20214603532,3.44e-06,Stable
3.0,12878.78787878788,-15997.151187530364,-38490.044805358484,3.44e-06,Stable
3.0,13020.202020202021,-24173.260089133626,-43366.180308607014,3.44e-06,Stable
3.0,13161.616161616163,-38180.25343922021,-45428.81616684847,3.44e-06,Stable
3.0,13303.030303030304,-57087.870194757736,-36383.18266405926,3.44e-06,Stable
3.0,13444.444444444445,-65149.02342479916,-11220.541100933224,3.44e-06,Stable
3.0,13585.858585858587,-51978.17519963979,9314.018164727815,3.44e-06,Stable
3.0,13727.272727272728,-35238.21134260978,14127.81174960026,3.44e-06,Stable
3.0,13868.68686868687,-23975.308638994607,11671.300088509553,3.44e-06,Stable
3.0,14010.10101010101,-17235.354713446945,7576.533433715522,3.44e-06,Stable
3.0,14151.515151515152,-13153.364238788301,3548.1740955173846,3.44e-06,Stable
3.0,14292.929292929293,-10588.88135720044,-61.37350202399284,3.44e-06,Stable
3.0,14434.343434343435,-8926.97739911338,-3257.7143388492677,3.44e-06,Stable
3.0,14575.757575757576,-7835.087953755238,-6123.098401720328,3.44e-06,Stable
3.0,14717.17171717172,-7128.796717919835,-8743.86603527216,3.44e-06,Stable
3.0,14858.58585858586,-6704.722020174181,-11194.952668327573,3.44e-06,Stable
3.0,15000.0,-6507.205536431719,-13539.406786156034,3.44e-06,Stable
3.0,1000.0,-138.40336413053896,12579.890997601053,6.88e-06,Stable
3.0,1141.4141414141413,-140.6072691339266,8985.426699917442,6.88e-06,Stable
3.0,1282.828282828283,-144.11364573233413,5861.239296542809,6.88e-06,Stable
3.0,1424.2424242424242,-149.55368514547104,3029.5174436088646,6.88e-06,Stable
3.0,1565.6565656565658,-157.86625949874778,365.3785930736376,6.88e-06,Stable
3.0,1707.0707070707072,-170.47974955276737,-2229.329969414266,6.88e-06,Stable
3.0,1848.4848484848485,-189.6277711454613,-4842.43369924094,6.88e-06,Stable
3.0,1989.8989898989898,-218.920984887057,-7564.403239981761,6.88e-06,Stable
3.0,2131.3131313131316,-264.4360425713147,-10502.167777034316,6.88e-06,Stable
3.0,2272.727272727273,-336.9191891003619,-13798.526274077554,6.88e-06,Stable
3.0,2414.1414141414143,-456.59198552077373,-17665.444543239413,6.88e-06,Stable
3.0,2555.5555555555557,-664.6718407650966,-22449.871741626983,6.88e-06,Stable
3.0,2696.969696969697,-1054.6292789600193,-28781.47339436768,6.88e-06,Stable
3.0,2838.3838383838383,-1872.7092758112558,-37956.847093409095,6.88e-06,Stable
3.0,2979.7979797979797,-3933.4830029183404,-53161.9403490373,6.88e-06,Stable
3.0,3121.2121212121215,-11235.787411552275,-84791.4901317704,6.88e-06,Stable
3.0,3262.626262626263,-72159.20180234099,-189008.8070110314,6.88e-06,Stable
3.0,3404.040404040404,-197019.15211950135,235592.02670210355,6.88e-06,Stable
3.0,3545.4545454545455,-23669.792080717012,93297.92525792035,6.88e-06,Stable
3.0,3686.8686868686873,-9173.793832164865,52465.65476269088,6.88e-06,Stable
3.0,3828.2828282828286,-5188.711287086935,34510.939428673686,6.88e-06,Stable
3.0,3969.69696969697,-3523.194710917544,24181.467747636118,6.88e-06,Stable
3.0,4111.111111111111,-2666.3423069879036,17265.93767369393,6.88e-06,Stable
3.0,4252.525252525253,-2170.5616175820533,12151.39055002578,6.88e-06,Stable
3.0,4393.939393939394,-1864.6482214405676,8085.584128641478,6.88e-06,Stable
3.0,4535.353535353535,-1672.1220359801496,4666.615569362875,6.88e-06,Stable
3.0,4676.767676767677,-1555.6792863717392,1655.5725804093308,6.88e-06,Stable
3.0,4818.181818181818,-1496.9243744728049,-1103.9414845788883,6.88e-06,Stable
3.0,4959.595959595959,-1488.2304023738939,-3725.0729530754497,6.88e-06,Stable
3.0,5101.010101010102,-1529.6274187977524,-6299.499474969305,6.88e-06,Stable
3.0,5242.424242424243,-1628.4008190971165,-8911.702351212156,6.88e-06,Stable
3.0,5383.838383838384,-1800.955545785528,-11650.809500770414,6.88e-06,Stable
3.0,5525.252525252526,-2077.781977083623,-14623.610536622757,6.88e-06,Stable
3.0,5666.666666666667,-2514.2449239186594,-17972.807133439146,6.88e-06,Stable
3.0,5808.080808080808,-3214.269100328014,-21907.151647559112,6.88e-06,Stable
3.0,5949.49494949495,-4386.155519147933,-26756.509225594677,6.88e-06,Stable
3.0,6090.909090909091,-6488.7209511692145,-33078.344472152596,6.88e-06,Stable
3.0,6232.323232323232,-10670.269295461176,-41857.76692545431,6.88e-06,Stable
3.0,6373.737373737375,-20324.797693925793,-54696.47235358563,6.88e-06,Stable
3.0,6515.151515151516,-47234.767444241545,-71115.06681990622,6.88e-06,Stable
3.0,6656.565656565657,-113978.2940867382,-50993.24618699949,6.88e-06,Stable
3.0,6797.979797979799,-98663.80425952762,42119.21437659714,6.88e-06,Stable
3.0,6939.39393939394,-43863.64312299894,47559.54463057335,6.88e-06,Stable
3.0,7080.808080808081,-22692.67154698931,34299.27891333586,6.88e-06,Stable
3.0,7222.222222222223,-14034.644149121008,24010.286740679203,6.88e-06,Stable
3.0,7363.636363636364,-9822.668893736109,16658.97175344886,6.88e-06,Stable
3.0,7505.050505050505,-7496.990091218046,11164.276078131737,6.88e-06,Stable
3.0,7646.464646464647,-6101.716597369281,6826.236205891446,6.88e-06,Stable
3.0,7787.878787878788,-5223.668950101849,3227.82372813286,6.88e-06,Stable
3.0,7929.29292929293,-4664.191002256074,111.82668733104947,6.88e-06,Stable
3.0,8070.707070707072,-4321.319586424633,-2689.9828561618124,6.88e-06,Stable
3.0,8212.121212121212,-4142.26058261185,-5295.501609516352,6.88e-06,Stable
3.0,8353.535353535353,-4102.862482406287,-7794.209927813636,6.88e-06,Stable
3.0,8494.949494949495,-4199.052566623918,-10260.534260178643,6.88e-06,Stable
3.0,8636.363636363636,-4444.792007340181,-12762.86921500598,6.88e-06,Stable
3.0,8777.777777777777,-4875.072839420637,-15370.455733266635,6.88e-06,Stable
3.0,8919.191919191919,-5554.915814503438,-18159.088216539083,6.88e-06,Stable
3.0,9060.60606060606,-6598.069108089533,-21215.191552739434,6.88e-06,Stable
3.0,9202.020202020203,-8203.764233031943,-24634.314558879123,6.88e-06,Stable
3.0,9343.434343434345,-10728.427774061513,-28498.969120612317,6.88e-06,Stable
3.0,9484.848484848486,-14820.491179947223,-32783.51575930484,6.88e-06,Stable
3.0,9626.262626262627,-21623.68727724081,-37013.94346845988,6.88e-06,Stable
3.0,9767.676767676769,-32730.127164986676,-39225.13140320839,6.88e-06,Stable
3.0,9909.09090909091,-47931.27130565105,-34108.58809187621,6.88e-06,Stable
3.0,10050.505050505051,-58383.17933948756,-16579.247068636156,6.88e-06,Stable
3.0,10191.919191919193,-52968.07458112918,3188.22855132163,6.88e-06,Stable
3.0,10333.333333333334,-39459.46530460155,12051.358857549078,6.88e-06,Stable
3.0,10474.747474747475,-28129.50084299089,12503.911352819725,6.88e-06,Stable
3.0,10616.161616161617,-20646.686147076703,9860.54709563972,6.88e-06,Stable
3.0,10757.575757575758,-15898.383077611708,6530.877181537215,6.88e-06,Stable
3.0,10898.9898989899,-12840.950736971074,3277.2081822183754,6.88e-06,Stable
3.0,11040.40404040404,-10827.891242596546,280.4047632732818,6.88e-06,Stable
3.0,11181.818181818182,-9486.243812199204,-2457.3720809489278,6.88e-06,Stable
3.0,11323.232323232323,-8601.446124247035,-4981.765511099335,6.88e-06,Stable
3.0,11464.646464646465,-8049.687246870274,-7345.847868505356,6.88e-06,Stable
3.0,11606.060606060608,-7761.496946704377,-9598.74944782743,6.88e-06,Stable
3.0,11747.47474747475,-7702.752518147761,-11783.297125740259,6.88e-06,Stable
3.0,11888.88888888889,-7865.436343192335,-13935.981521283284,6.88e-06,Stable
3.0,12030.303030303032,-8264.331085106523,-16086.713886521029,6.88e-06,Stable
3.0,12171.717171717173,-8937.8999455582,-18256.835129039388,6.88e-06,Stable
3.0,12313.131313131315,-9952.541815519562,-20453.43976581405,6.88e-06,Stable
3.0,12454.545454545456,-11409.25478632212,-22656.562938584648,6.88e-06,Stable
3.0,12595.959595959597,-13449.387004253278,-24793.011816391834,6.88e-06,Stable
3.0,12737.373737373739,-16248.284743345414,-26687.4546500234,6.88e-06,Stable
3.0,12878.78787878788,-19965.771962115843,-27984.624115929113,6.88e-06,Stable
3.0,13020.202020202021,-24589.02845907663,-28072.4998860325,6.88e-06,Stable
3.0,13161.616161616163,-29611.409858031333,-26157.00949445285,6.88e-06,Stable
3.0,13303.030303030304,-33743.3274181912,-21781.66490253758,6.88e-06,Stable
3.0,13444.444444444445,-35359.54871619189,-15691.077201770942,6.88e-06,Stable
3.0,13585.858585858587,-33864.17716601186,-9806.620868384396,6.88e-06,Stable
3.0,13727.272727272728,-30257.211838641448,-5752.559496706482,6.88e-06,Stable
3.0,13868.68686868687,-26042.2792337828,-3860.0166176116236,6.88e-06,Stable
3.0,14010.10101010101,-22189.66575765757,-3613.64458783412,6.88e-06,Stable
3.0,14151.515151515152,-19044.72357012117,-4372.930942946312,6.88e-06,Stable
3.0,14292.929292929293,-16616.401270571863,-5671.311451706102,6.88e-06,Stable
3.0,14434.343434343435,-14799.846926260172,-7230.202352972061,6.88e-06,Stable
3.0,14575.757575757576,-13477.602352551916,-8898.788918718816,6.88e-06,Stable
3.0,14717.17171717172,-12552.727266523225,-10600.37232046622,6.88e-06,Stable
3.0,14858.58585858586,-11954.697514249643,-12298.024079321067,6.88e-06,Stable
3.0,15000.0,-11636.84078571736,-13974.660599766241,6.88e-06,Stable
3.0,1000.0,-207.60475313743598,12579.916984638861,1.032e-05,Stable
3.0,1141.4141414141413,-210.9101769547925,8985.481545918543,1.032e-05,Stable
3.0,1282.828282828283,-216.16879296817316,5861.348035821538,1.032e-05,Stable
3.0,1424.2424242424242,-224.3268570460904,3029.723614169099,1.032e-05,Stable
3.0,1565.6565656565658,-236.79162094503093,365.7575490167367,1.032e-05,Stable
3.0,1707.0707070707072,-255.70352137676355,-2228.647119864799,1.032e-05,Stable
3.0,1848.4848484848485,-284.4085572179738,-4841.215506505983,1.032e-05,Stable
3.0,1989.8989898989898,-328.31320577684875,-7562.2312666502185,1.032e-05,Stable
3.0,2131.3131313131316,-396.5109736684281,-10498.259319817684,1.032e-05,Stable
3.0,2272.727272727273,-505.06960700817376,-13791.347935740501,1.032e-05,Stable
3.0,2414.1414141414143,-684.1866628687492,-17651.800331109087,1.032e-05,Stable
3.0,2555.5555555555557,-995.2956445911339,-22422.520190850268,1.032e-05,Stable
3.0,2696.969696969697,-1577.274237271512,-28721.997004960296,1.032e-05,Stable
3.0,2838.3838383838383,-2793.92048608814,-37809.86773964596,1.032e-05,Stable
3.0,2979.7979797979797,-5834.455996621048,-52711.15351099934,1.032e-05,Stable
3.0,3121.2121212121215,-16348.426302386715,-82691.26349696396,1.032e-05,Stable
3.0,3262.626262626263,-91256.33962827871,-161981.27492221148,1.032e-05,Stable
3.0,3404.040404040404,-201298.38181625857,154489.43198984885,1.032e-05,Stable
3.0,3545.4545454545455,-33777.60524041384,87748.68514567187,1.032e-05,Stable
3.0,3686.8686868686873,-13519.542659913732,51147.33611690526,1.032e-05,Stable
3.0,3828.2828282828286,-7713.531444999286,33982.63386074307,1.032e-05,Stable
3.0,3969.69696969697,-5256.154229799796,23908.54574903728,1.032e-05,Stable
3.0,4111.111111111111,-3984.8616297198846,17103.363849981877,1.032e-05,Stable
3.0,4252.525252525253,-3247.0709012188336,12046.289477392924,1.032e-05,Stable
3.0,4393.939393939394,-2790.9543697390886,8015.004336554264,1.032e-05,Stable
3.0,4535.353535353535,-2503.440923372923,4619.633405593735,1.032e-05,Stable
3.0,4676.767676767677,-2329.177926041038,1627.0398075420035,1.032e-05,Stable
3.0,4818.181818181818,-2240.753702045505,-1115.7978384420317,1.032e-05,Stable
3.0,4959.595959595959,-2226.6656885732637,-3719.4701120610525,1.032e-05,Stable
3.0,5101.010101010102,-2286.6584330322644,-6273.033849018638,1.032e-05,Stable
3.0,5242.424242424243,-2430.9974186810796,-8857.484664635822,1.032e-05,Stable
3.0,5383.838383838384,-2682.9373844970683,-11556.451893535312,1.032e-05,Stable
3.0,5525.252525252526,-3085.385596513377,-14467.072595654023,1.032e-05,Stable
3.0,5666.666666666667,-3715.115813364168,-17713.68418681361,1.032e-05,Stable
3.0,5808.080808080808,-4712.916086601483,-21467.304982796595,1.032e-05,Stable
3.0,5949.49494949495,-6350.8719964284,-25973.340161750853,1.032e-05,Stable
3.0,6090.909090909091,-9193.71184027387,-31580.221770758235,1.032e-05,Stable
3.0,6232.323232323232,-14514.134169972343,-38692.922544039095,1.032e-05,Stable
3.0,6373.737373737375,-25365.93274680816,-47142.11331662508,1.032e-05,Stable
3.0,6515.151515151516,-48184.250029731396,-52058.277304613366,1.032e-05,Stable
3.0,6656.565656565657,-81029.10734291526,-31201.36377580165,1.032e-05,Stable
3.0,6797.979797979799,-77122.08243101792,14675.826694939758,1.032e-05,Stable
3.0,6939.39393939394,-47564.72417253738,29672.555385838026,1.032e-05,Stable
3.0,7080.808080808081,-28776.03688664567,26093.47126415578,1.032e-05,Stable
3.0,7222.222222222223,-19089.297148379712,19863.555422216443,1.032e-05,Stable
3.0,7363.636363636364,-13839.45390183877,14313.214652910716,1.032e-05,Stable
3.0,7505.050505050505,-10771.771049671015,9720.417272003357,1.032e-05,Stable
3.0,7646.464646464647,-8869.741595214164,5887.332130982335,1.032e-05,Stable
3.0,7787.878787878788,-7647.459086599067,2601.419010231657,1.032e-05,Stable
3.0,7929.29292929293,-6856.80366716942,-301.34336676010116,1.032e-05,Stable
3.0,8070.707070707072,-6365.242466641821,-2941.602453923949,1.032e-05,Stable
3.0,8212.121212121212,-6101.880049850752,-5409.540541850891,1.032e-05,Stable
3.0,8353.535353535353,-6032.625079543842,-7775.3457821142,1.032e-05,Stable
3.0,8494.949494949495,-6149.048759952244,-10096.460653448754,1.032e-05,Stable
3.0,8636.363636363636,-6464.711704176225,-12422.16538076596,1.032e-05,Stable
3.0,8777.777777777777,-7016.676193805485,-14795.696329392005,1.032e-05,Stable
3.0,8919.191919191919,-7871.905276735159,-17253.108484743352,1.032e-05,Stable
3.0,9060.60606060606,-9139.38359118755,-19816.15451115078,1.032e-05,Stable
3.0,9202.020202020203,-10988.827762170562,-22472.397599075986,1.032e-05,Stable
3.0,9343.434343434345,-13672.950574861676,-25127.45997120074,1.032e-05,Stable
3.0,9484.848484848486,-17532.01359178805,-27500.621016329096,1.032e-05,Stable
3.0,9626.262626262627,-22899.18354650366,-28932.120299077425,1.032e-05,Stable
3.0,9767.676767676769,-29698.475553867447,-28178.900188822758,1.032e-05,Stable
3.0,9909.09090909091,-36570.589716120165,-23737.925822050733,1.032e-05,Stable
3.0,10050.505050505051,-40531.57567738528,-15586.314594315543,1.032e-05,Stable
3.0,10191.919191919193,-39399.77174560613,-6710.848416228164,1.032e-05,Stable
3.0,10333.333333333334,-34474.89422409495,-557.1252944385469,1.032e-05,Stable
3.0,10474.747474747475,-28601.36322959464,2098.4181109508845,1.032e-05,Stable
3.0,10616.161616161617,-23473.44204425607,2305.086344272062,1.032e-05,Stable
3.0,10757.575757575758,-19511.147218830516,1211.1487596922198,1.032e-05,Stable
3.0,10898.9898989899,-16593.16025652615,-467.83567611903163,1.032e-05,Stable
3.0,11040.40404040404,-14486.565851168703,-2366.7542676017183,1.032e-05,Stable
3.0,11181.818181818182,-12988.211796986208,-4317.301907049191,1.032e-05,Stable
3.0,11323.232323232323,-11950.002790883249,-6248.823173881537,1.032e-05,Stable
3.0,11464.646464646465,-11271.959096724053,-8136.351658032493,1.032e-05,Stable
3.0,11606.060606060608,-10890.591429964006,-9974.916317300806,1.032e-05,Stable
3.0,11747.47474747475,-10769.488218625804,-11766.662743616384,1.032e-05,Stable
3.0,11888.88888888889,-10892.895321859687,-13513.718668960531,1.032e-05,Stable
3.0,12030.303030303032,-11261.552510431846,-15213.169660144755,1.032e-05,Stable
3.0,12171.717171717173,-11889.694460319688,-16852.12908058104,1.032e-05,Stable
3.0,12313.131313131315,-12801.814097712237,-18401.65366438472,1.032e-05,Stable
3.0,12454.545454545456,-14027.127066141913,-19808.871343276496,1.032e-05,Stable
3.0,12595.959595959597,-15588.594360398265,-20987.91156254273,1.032e-05,Stable
3.0,12737.373737373739,-17482.419851273167,-21813.137818861323,1.032e-05,Stable
3.0,12878.78787878788,-19645.364966651137,-22123.751073684776,1.032e-05,Stable
3.0,13020.202020202021,-21915.83558061912,-21755.314657104907,1.032e-05,Stable
3.0,13161.616161616163,-24014.32439491479,-20611.091813446976,1.032e-05,Stable
3.0,13303.030303030304,-25587.067654726656,-18756.43556964412,1.032e-05,Stable
3.0,13444.444444444445,-26332.9198890407,-16467.589719218657,1.032e-05,Stable
3.0,13585.858585858587,-26148.559109699567,-14160.440451884899,1.032e-05,Stable
3.0,13727.272727272728,-25173.18386316016,-12223.817108838095,1.032e-05,Stable
3.0,13868.68686868687,-23696.870454346514,-10883.269127842246,1.032e-05,Stable
3.0,14010.10101010101,-22022.34181157187,-10180.040025689967,1.032e-05,Stable
3.0,14151.515151515152,-20377.424660210778,-10034.3751783904,1.032e-05,Stable
3.0,14292.929292929293,-18897.05066058965,-10320.64918726356,1.032e-05,Stable
3.0,14434.343434343435,-17643.554702644,-10915.557100265087,1.032e-05,Stable
3.0,14575.757575757576,-16634.658459887938,-11717.848363878802,1.032e-05,Stable
3.0,14717.17171717172,-15865.398525709452,-12651.103369757499,1.032e-05,Stable
3.0,14858.58585858586,-15321.760085014883,-13659.4689882038,1.032e-05,Stable
3.0,15000.0,-14987.92145654115,-14701.71483699739,1.032e-05,Stable
3.0,1000.0,-276.80579056710565,12579.953360322288,1.376e-05,Stable
3.0,1141.4141414141413,-281.2122129982778,8985.55831234126,1.376e-05,Stable
3.0,1282.828282828283,-288.22193043957634,5861.500222598357,1.376e-05,Stable
3.0,1424.2424242424242,-299.09562704294615,3030.0121309057386,1.376e-05,Stable
3.0,1565.6565656565658,-315.7076685776153,366.28778989845614,1.376e-05,Stable
3.0,1707.0707070707072,-340.90799203197105,-2227.691839868353,1.376e-05,Stable
3.0,1848.4848484848485,-379.1496849812943,-4839.511716768673,1.376e-05,Stable
3.0,1989.8989898989898,-437.6236694976454,-7559.194512450198,1.376e-05,Stable
3.0,2131.3131313131316,-528.4146761192591,-10492.797261013457,1.376e-05,Stable
3.0,2272.727272727273,-672.8504460214556,-13781.323105794174,1.376e-05,Stable
3.0,2414.1414141414143,-910.9443832015986,-17632.765587073227,1.376e-05,Stable
3.0,2555.5555555555557,-1323.8815896407677,-22384.427165089237,1.376e-05,Stable
3.0,2696.969696969697,-2094.3867791429016,-28639.40831581349,1.376e-05,Stable
3.0,2838.3838383838383,-3697.3535152110467,-37606.95891365404,1.376e-05,Stable
3.0,2979.7979797979797,-7659.869651051223,-52097.32241431598,1.376e-05,Stable
3.0,3121.2121212121215,-20920.78451331154,-79956.71747969829,1.376e-05,Stable
3.0,3262.626262626263,-99780.32498702641,-135846.7042819463,1.376e-05,Stable
3.0,3404.040404040404,-185620.4565462376,101056.67873903674,1.376e-05,Stable
3.0,3545.4545454545455,-42167.84867384512,80835.40634240831,1.376e-05,Stable
3.0,3686.8686868686873,-17594.766198794332,49379.1699733295,1.376e-05,Stable
3.0,3828.2828282828286,-10157.757866769758,33259.363851789916,1.376e-05,Stable
3.0,3969.69696969697,-6955.473869376859,23531.729872899683,1.376e-05,Stable
3.0,4111.111111111111,-5286.052614253895,16877.92626681632,1.376e-05,Stable
3.0,4252.525252525253,-4313.1670854483855,11900.162746336791,1.376e-05,Stable
3.0,4393.939393939394,-3710.102883818653,7916.675993073242,1.376e-05,Stable
3.0,4535.353535353535,-3329.118927997277,4554.029977019218,1.376e-05,Stable
3.0,4676.767676767677,-3097.5223474520362,1587.0165686367882,1.376e-05,Stable
3.0,4818.181818181818,-2979.1035600154087,-1132.7513192111633,1.376e-05,Stable
3.0,4959.595959595959,-2958.4209000947462,-3712.3775002267657,1.376e-05,Stable
3.0,5101.010101010102,-3034.6014826248734,-6237.390568047524,1.376e-05,Stable
3.0,5242.424242424243,-3220.1626428757695,-8784.174004857328,1.376e-05,Stable
3.0,5383.838383838384,-3543.74695419161,-11429.222515223712,1.376e-05,Stable
3.0,5525.252525252526,-4057.69974192011,-14257.436907856041,1.376e-05,Stable
3.0,5666.666666666667,-4853.839145882887,-17370.57249541365,1.376e-05,Stable
3.0,5808.080808080808,-6095.321372336508,-20895.19684984806,1.376e-05,Stable
3.0,5949.49494949495,-8082.443967915798,-24983.461604954104,1.376e-05,Stable
3.0,6090.909090909091,-11391.540886890447,-29776.081268932096,1.376e-05,Stable
3.0,6232.323232323232,-17157.8612640203,-35201.44260013355,1.376e-05,Stable
3.0,6373.737373737375,-27484.505055799527,-40131.76681348696,1.376e-05,Stable
3.0,6515.151515151516,-44640.84093659794,-39693.95140682433,1.376e-05,Stable
3.0,6656.565656565657,-62728.50377760156,-23713.595146797208,1.376e-05,Stable
3.0,6797.979797979799,-62025.166336240705,2840.908880082281,1.376e-05,Stable
3.0,6939.39393939394,-45926.77549571303,16816.122109205735,1.376e-05,Stable
3.0,7080.808080808081,-31637.757165121766,18237.538577385596,1.376e-05,Stable
3.0,7222.222222222223,-22555.673184591375,15285.917457343283,1.376e-05,Stable
3.0,7363.636363636364,-17026.360705261333,11519.116566229746,1.376e-05,Stable
3.0,7505.050505050505,-13571.962157403228,7922.799154260541,1.376e-05,Stable
3.0,7646.464646464647,-11340.692827523771,4685.235242652609,1.376e-05,Stable
3.0,7787.878787878788,-9867.735117247337,1783.495680395039,1.376e-05,Stable
3.0,7929.29292929293,-8895.862952582447,-850.1091301047218,1.376e-05,Stable
3.0,8070.707070707072,-8280.0598758297,-3283.5665791203055,1.376e-05,Stable
3.0,8212.121212121212,-7939.253451518103,-5575.153886498172,1.376e-05,Stable
3.0,8353.535353535353,-7831.93256863675,-7772.711398104953,1.376e-05,Stable
3.0,8494.949494949495,-7944.104946286581,-9914.7342006252,1.376e-05,Stable
3.0,8636.363636363636,-8284.096081367055,-12030.83286623538,1.376e-05,Stable
3.0,8777.777777777777,-8881.54777823777,-14140.315129109928,1.376e-05,Stable
3.0,8919.191919191919,-9789.148648001625,-16247.46897356036,1.376e-05,Stable
3.0,9060.60606060606,-11085.545507896715,-18331.208557658654,1.376e-05,Stable
3.0,9202.020202020203,-12876.007172633212,-20325.365673722597,1.376e-05,Stable
3.0,9343.434343434345,-15282.060334206197,-22085.269423189686,1.376e-05,Stable
3.0,9484.848484848486,-18400.25299100232,-23341.262923819893,1.376e-05,Stable
3.0,9626.262626262627,-22196.97402537482,-23663.965780898216,1.376e-05,Stable
3.0,9767.676767676769,-26323.26912048832,-22526.23182311948,1.376e-05,Stable
3.0,9909.09090909091,-29962.44191907648,-19596.4114725886,1.376e-05,Stable
3.0,10050.505050505051,-32038.244233804504,-15210.088590035515,1.376e-05,Stable
3.0,10191.919191919193,-31916.812519477764,-10478.227560491541,1.376e-05,Stable
3.0,10333.333333333334,-29911.997213542323,-6623.72395866552,1.376e-05,Stable
